NOM;CAPITALE
Pays-Bas;Amsterdam
Grèce;Athènes
Allemagne;Berlin
Slovaquie;Bratislava
Belgique;Bruxelles
Roumanie;Bucarest
Hongrie;Budapest
Danemark;Copenhague
Irlande;Dublin
Finlande;Helsinki
Malte;La Valette
Portugal;Lisbonne
Slovénie;Ljubljana
Royaume-Uni;Londres
Luxembourg;Luxembourg
Espagne;Madrid
Chypre;Nicosie
France;Paris
République Tchèque;Prague
Lettonie;Riga
Italie;Rome
Bulgarie;Sofia
Suède;Stockholm
Estonie;Tallinn
Pologne;Varsovie
Autriche;Vienne
Lituanie;Vilnius
